index,Cosine Similarity
"('ðæt', 'treow')",-0.057595138
"('ðæt', 'sæd')",-0.11298614
"('ðæt', 'blæd')",0.10017392
"('ðæt', 'rot')",-0.09424393
"('ðæt', 'hyd')",0.0609207
"('ðæt', 'flæsc')",-0.078397684
"('ðæt', 'blod')",-0.15363902
"('ðæt', 'ban')",-0.11025292
"('ðæt', 'gelynd')",-0.033600207
"('ðæt', 'æg')",0.043305736
"('ðæt', 'horn')",-0.05826293
"('ðæt', 'steort')",-0.14476983
"('ðæt', 'hær')",0.15137301
"('ðæt', 'heafod')",-0.08971305
"('ðæt', 'eare')",-0.15855022
"('ðæt', 'eage')",-0.0565466
"('ðæt', 'muþ')",-0.039632253
"('ðæt', 'tunge')",-0.08818892
"('ðæt', 'clea')",0.041773506
"('ðæt', 'fot')",-0.17862599
"('ðæt', 'cneow')",0.02954859
"('ðæt', 'mund')",-0.019659294
"('ðæt', 'cwiþ')",0.030966949
"('ðæt', 'sweora')",-0.04210419
"('ðæt', 'bosm')",0.028151527
"('ðæt', 'heorte')",-0.10494773
"('ðæt', 'drincan')",-0.06387983
"('ðæt', 'etan')",-0.028238066
"('ðæt', 'bitan')",0.068544865
"('ðæt', 'seon')",0.11632414
"('ðæt', 'gehiran')",0.21868534
"('ðæt', 'cunnan')",0.027767107
"('ðæt', 'swefan')",0.0056871623
"('ðæt', 'dead')",0.07801433
"('ðæt', 'cwellan')",-0.005264826
"('ðæt', 'fleogan')",0.020822877
"('ðæt', 'findan')",0.13059996
"('ðæt', 'cuman')",0.15876368
"('ðæt', 'licgan')",0.03202846
"('ðæt', 'sittan')",-0.02456814
"('ðæt', 'standan')",-0.0007595755
"('ðæt', 'gesellan')",-0.110799864
"('ðæt', 'sæcgan')",0.0033063628
"('ðæt', 'sunne')",0.1307673
"('ðæt', 'mona')",-0.017213285
"('ðæt', 'steorra')",-0.011350592
"('ðæt', 'ea')",0.108162425
"('ðæt', 'regn')",-0.06908754
"('ðæt', 'stan')",0.09995891
"('ðæt', 'sand')",0.1642667
"('ðæt', 'eorþe')",0.08225816
"('ðæt', 'neowol')",-0.027206458
"('ðæt', 'þrosm')",-0.062416162
"('ðæt', 'fyr')",9.145588e-05
"('ðæt', 'axe')",-0.020006929
"('ðæt', 'bærnan')",0.09187673
"('ðæt', 'foldweg')",0.04657104
"('ðæt', 'beorg')",-0.027341895
"('ðæt', 'read')",0.12266891
"('ðæt', 'grene')",-0.1648245
"('ðæt', 'geolo')",0.0056688897
"('ðæt', 'hwit')",-0.010247573
"('ðæt', 'blæc')",0.040278777
"('ðæt', 'niht')",-0.036489833
"('ðæt', 'wearm')",0.13453725
"('ðæt', 'ceald')",0.0048374906
"('ðæt', 'full')",0.068588875
"('ðæt', 'niwe')",0.00871524
"('ðæt', 'betra')",0.11725773
"('ðæt', 'dryge')",-0.15990606
"('ðæt', 'nama')",0.15094385
"('hwa', 'ic')",0.25506863
"('hwa', 'ðu')",0.06617526
"('hwa', 'us')",-0.015320031
"('hwa', 'he')",0.18438858
"('hwa', 'ðæt')",0.12665027
"('hwa', 'ne')",0.10545137
"('hwa', 'eall')",0.077521905
"('hwa', 'manig')",-0.09213716
"('hwa', 'an')",0.08509148
"('hwa', 'twegen')",-0.07857162
"('hwa', 'micel')",0.15170716
"('hwa', 'lang')",-0.051653743
"('hwa', 'min')",0.08587481
"('hwa', 'cwen')",0.06727202
"('hwa', 'mann')",0.17649129
"('hwa', 'fisc')",0.19569258
"('hwa', 'fugol')",0.0609204
"('hwa', 'hund')",0.009756453
"('hwa', 'treow')",-0.008586746
"('hwa', 'sæd')",0.04436394
"('hwa', 'blæd')",-0.10525863
"('hwa', 'rot')",-0.11228621
"('hwa', 'hyd')",-0.0435035
"('hwa', 'flæsc')",0.14102587
"('hwa', 'blod')",-0.37151915
"('hwa', 'ban')",-0.038962837
"('hwa', 'gelynd')",0.016109057
"('hwa', 'æg')",0.013023026
"('hwa', 'horn')",-0.08407973
"('hwa', 'steort')",0.01691646
"('hwa', 'hær')",0.09020661
"('hwa', 'heafod')",-0.06598724
"('hwa', 'eare')",-0.018032357
"('hwa', 'eage')",-0.09638135
"('hwa', 'muþ')",0.17218196
"('hwa', 'tunge')",0.010549124
"('hwa', 'clea')",-0.034341097
"('hwa', 'fot')",0.11358321
"('hwa', 'cneow')",-0.14674586
"('hwa', 'mund')",0.022645436
"('hwa', 'cwiþ')",0.03798166
"('hwa', 'sweora')",-0.11418041
"('hwa', 'bosm')",-0.104967654
"('hwa', 'heorte')",0.042538103
"('hwa', 'drincan')",0.13882074
"('hwa', 'etan')",0.0801498
"('hwa', 'bitan')",0.21097195
"('hwa', 'seon')",-0.05366657
"('hwa', 'gehiran')",0.013596572
"('hwa', 'cunnan')",0.05043942
"('hwa', 'swefan')",-0.06823172
"('hwa', 'dead')",0.116390295
"('hwa', 'cwellan')",-0.11280383
"('hwa', 'fleogan')",0.15626433
"('hwa', 'findan')",0.23139632
"('hwa', 'cuman')",0.10924954
"('hwa', 'licgan')",0.05820176
"('hwa', 'sittan')",-0.120168954
"('hwa', 'standan')",-0.07814652
"('hwa', 'gesellan')",0.04941981
"('hwa', 'sæcgan')",0.17888112
"('hwa', 'sunne')",0.22763757
"('hwa', 'mona')",0.25339478
"('hwa', 'steorra')",0.21891414
"('hwa', 'ea')",-0.016604131
"('hwa', 'regn')",-0.0021982267
"('hwa', 'stan')",0.09515634
"('hwa', 'sand')",0.17171292
"('hwa', 'eorþe')",0.12597919
"('hwa', 'neowol')",0.23733595
"('hwa', 'þrosm')",0.06219942
"('hwa', 'fyr')",0.09961684
"('hwa', 'axe')",0.079852924
