index,Cosine Similarity
"('manig', 'bærnan')",0.17736077
"('manig', 'beorg')",0.27287978
"('manig', 'read')",0.034712285
"('manig', 'grene')",0.036595475
"('manig', 'geolo')",0.034841783
"('manig', 'hwit')",-0.09016864
"('manig', 'niht')",0.081977636
"('manig', 'wearm')",0.09987462
"('manig', 'ceald')",-0.002597306
"('manig', 'full')",0.008296497
"('manig', 'niwe')",0.3019515
"('manig', 'betra')",0.04939697
"('manig', 'dryge')",0.17864358
"('manig', 'nama')",0.038037654
"('twegen', 'ic')",-0.2180114
"('twegen', 'ðu')",-0.041380838
"('twegen', 'us')",-0.08472777
"('twegen', 'he')",-0.09983399
"('twegen', 'ðæt')",0.014810026
"('twegen', 'ne')",-0.04132673
"('twegen', 'manig')",0.28907317
"('twegen', 'micel')",-0.10909639
"('twegen', 'lang')",-0.023267359
"('twegen', 'min')",-0.20745748
"('twegen', 'cwen')",0.2858007
"('twegen', 'mann')",-0.06956328
"('twegen', 'fisc')",0.064017095
"('twegen', 'hund')",0.25384918
"('twegen', 'treow')",0.05252073
"('twegen', 'blæd')",0.10141246
"('twegen', 'gelynd')",0.184816
"('twegen', 'æg')",-0.06440212
"('twegen', 'horn')",0.035908945
"('twegen', 'hær')",0.23236933
"('twegen', 'heafod')",0.14978382
"('twegen', 'eare')",0.06637585
"('twegen', 'eage')",0.1993773
"('twegen', 'muþ')",-0.15012826
"('twegen', 'tunge')",0.025270917
"('twegen', 'clea')",0.016515002
"('twegen', 'fot')",-0.11773788
"('twegen', 'cneow')",0.124062166
"('twegen', 'mund')",0.015203193
"('twegen', 'sweora')",0.17096683
"('twegen', 'heorte')",-0.009869292
"('twegen', 'drincan')",-0.018559422
"('twegen', 'etan')",-0.09941028
"('twegen', 'bitan')",0.08672844
"('twegen', 'seon')",0.20342448
"('twegen', 'gehiran')",0.022727577
"('twegen', 'cunnan')",-0.15380013
"('twegen', 'swefan')",0.08931417
"('twegen', 'dead')",0.32609773
"('twegen', 'fleogan')",0.04169816
"('twegen', 'findan')",-0.0021857992
"('twegen', 'cuman')",-0.042130046
"('twegen', 'licgan')",-0.033440806
"('twegen', 'sittan')",0.17096838
"('twegen', 'standan')",0.31349933
"('twegen', 'sæcgan')",0.015395673
"('twegen', 'sunne')",0.061226424
"('twegen', 'mona')",-0.021246053
"('twegen', 'steorra')",0.0454519
"('twegen', 'ea')",0.031099103
"('twegen', 'regn')",-0.2223844
"('twegen', 'stan')",-0.036796022
"('twegen', 'eorþe')",0.06671956
"('twegen', 'neowol')",-0.24299838
"('twegen', 'þrosm')",0.13155788
"('twegen', 'axe')",-0.24959563
"('twegen', 'bærnan')",0.22523168
"('twegen', 'beorg')",-0.013836656
"('twegen', 'read')",0.100363284
"('twegen', 'grene')",0.12676165
"('twegen', 'geolo')",0.08200834
"('twegen', 'hwit')",0.2189408
"('twegen', 'niht')",0.081750035
"('twegen', 'wearm')",0.06462237
"('twegen', 'ceald')",0.069061026
"('twegen', 'full')",-0.021635182
"('twegen', 'niwe')",0.13834184
"('twegen', 'betra')",-0.05698513
"('twegen', 'dryge')",0.13794333
"('twegen', 'nama')",0.022206634
"('micel', 'ic')",-0.21752504
"('micel', 'ðu')",-0.16467449
"('micel', 'us')",0.054905437
"('micel', 'he')",0.018142581
"('micel', 'ðæt')",0.12311763
"('micel', 'ne')",0.019435432
"('micel', 'manig')",-0.007847711
"('micel', 'twegen')",-0.10909639
"('micel', 'lang')",0.26680046
"('micel', 'min')",0.09353592
"('micel', 'cwen')",0.022202805
"('micel', 'mann')",0.00082958676
"('micel', 'fisc')",0.10073975
"('micel', 'hund')",-0.19341426
"('micel', 'treow')",-0.0043224003
"('micel', 'blæd')",-0.0036052614
"('micel', 'gelynd')",-0.031161286
"('micel', 'æg')",0.10043508
"('micel', 'horn')",-0.057272077
"('micel', 'hær')",0.19741353
"('micel', 'heafod')",-0.03904476
"('micel', 'eare')",0.060096517
"('micel', 'eage')",0.15263614
"('micel', 'muþ')",0.0703826
"('micel', 'tunge')",0.08430037
"('micel', 'clea')",0.005435936
"('micel', 'fot')",0.006270295
"('micel', 'cneow')",0.050958645
"('micel', 'mund')",-0.0065726712
"('micel', 'sweora')",0.05715326
"('micel', 'heorte')",0.06561691
"('micel', 'drincan')",-0.005722061
"('micel', 'etan')",-0.12723187
"('micel', 'bitan')",0.01689421
"('micel', 'seon')",-0.12379323
"('micel', 'gehiran')",0.11091591
"('micel', 'cunnan')",0.09620929
"('micel', 'swefan')",-0.27035603
"('micel', 'dead')",-0.034246664
"('micel', 'fleogan')",0.06662449
"('micel', 'findan')",-0.012761988
"('micel', 'cuman')",-0.030160815
"('micel', 'licgan')",-0.09889059
"('micel', 'sittan')",-0.11852191
"('micel', 'standan')",-0.16317242
"('micel', 'sæcgan')",0.10708296
"('micel', 'sunne')",-0.062290862
"('micel', 'mona')",0.047565117
"('micel', 'steorra')",-0.001048103
"('micel', 'ea')",-0.105543286
"('micel', 'regn')",0.02290678
"('micel', 'stan')",-0.08925086
"('micel', 'eorþe')",-0.03845185
"('micel', 'neowol')",0.0319934
"('micel', 'þrosm')",0.11365286
"('micel', 'axe')",-0.06551901
"('micel', 'bærnan')",0.13811499
"('micel', 'beorg')",0.10529441
"('micel', 'read')",0.18776003
"('micel', 'grene')",-0.06283953
"('micel', 'geolo')",-0.033055276
"('micel', 'hwit')",0.05840127
"('micel', 'niht')",-0.044824384
"('micel', 'wearm')",0.17887563
"('micel', 'ceald')",0.2302666
"('micel', 'full')",0.12803689
"('micel', 'niwe')",-0.05917714
"('micel', 'betra')",0.2426025
"('micel', 'dryge')",-0.021070555
"('micel', 'nama')",0.17625786
"('lang', 'ic')",0.059588358
"('lang', 'ðu')",0.01340224
"('lang', 'us')",0.04593438
"('lang', 'he')",-0.01745525
"('lang', 'ðæt')",0.11449139
"('lang', 'ne')",0.029852312
"('lang', 'manig')",0.21257335
"('lang', 'twegen')",-0.023267359
"('lang', 'micel')",0.26680046
"('lang', 'min')",0.10297006
"('lang', 'cwen')",0.023983266
"('lang', 'mann')",-0.06857504
"('lang', 'fisc')",-0.006257698
"('lang', 'hund')",0.058743402
"('lang', 'treow')",-0.16145204
"('lang', 'blæd')",0.10773305
"('lang', 'gelynd')",0.11559162
"('lang', 'æg')",0.012604866
"('lang', 'horn')",0.05246619
"('lang', 'hær')",0.20820564
"('lang', 'heafod')",-0.09450495
"('lang', 'eare')",0.001396589
"('lang', 'eage')",0.13678667
"('lang', 'muþ')",-0.053193066
"('lang', 'tunge')",0.15167427
"('lang', 'clea')",-0.06921264
"('lang', 'fot')",-0.06463428
"('lang', 'cneow')",-0.07337002
"('lang', 'mund')",0.11230983
"('lang', 'sweora')",0.042470276
"('lang', 'heorte')",0.18184403
"('lang', 'drincan')",0.067987904
"('lang', 'etan')",0.1333607
"('lang', 'bitan')",0.16928637
"('lang', 'seon')",-0.1143222
"('lang', 'gehiran')",0.30595583
"('lang', 'cunnan')",0.05255452
"('lang', 'swefan')",-0.02405911
"('lang', 'dead')",0.1271824
"('lang', 'fleogan')",0.016620036
