index,Cosine Similarity
"('cis', 'unus')",-0.06894007
"('cis', 'duo')",0.14889583
"('cis', 'magnus')",-0.039063577
"('cis', 'longus')",0.046971828
"('cis', 'minutus')",-0.034388
"('cis', 'femina')",-0.09982754
"('cis', 'vir')",-0.1329804
"('cis', 'persona')",-0.0002722144
"('cis', 'piscis')",-0.026910707
"('cis', 'avis')",0.007516276
"('cis', 'canis')",0.08886445
"('cis', 'pedis')",-0.09215523
"('cis', 'dryas')",-0.07045852
"('cis', 'semen')",-0.02142921
"('cis', 'folium')",-0.031059101
"('cis', 'radix')",-0.036933735
"('cis', 'cortex')",-0.08512593
"('cis', 'cutis')",0.027252806
"('cis', 'membrana')",0.033670366
"('cis', 'sanguis')",-0.03698101
"('cis', 'os')",0.090591885
"('cis', 'medulla')",-0.11754355
"('cis', 'ovum')",0.067292824
"('cis', 'cornu')",0.09519298
"('cis', 'cauda')",-0.05779505
"('cis', 'pluma')",-0.28734842
"('cis', 'pilus')",-0.042061303
"('cis', 'caput')",-0.013403546
"('cis', 'auris')",-0.022811532
"('cis', 'oculus')",-0.17089537
"('cis', 'nasus')",0.001318343
"('cis', 'gemma')",-0.07954985
"('cis', 'lingua')",-0.07127321
"('cis', 'unguis')",0.06392607
"('cis', 'pes')",-0.0528977
"('cis', 'genu')",0.09553151
"('cis', 'manus')",0.03899217
"('cis', 'uterus')",-0.104572415
"('cis', 'monile')",0.07037149
"('cis', 'pectora')",0.10239196
"('cis', 'cor')",0.07221454
"('cis', 'iecur')",0.04175228
"('cis', 'bibere')",0.074670814
"('cis', 'edere')",0.037989095
"('cis', 'mordeo')",0.18806596
"('cis', 'cautio')",-0.011074685
"('cis', 'cognoscere')",-0.11142439
"('cis', 'somnus')",0.00942982
"('cis', 'funus')",-0.11878809
"('cis', 'caedo')",-0.022304762
"('cis', 'nare')",0.08851634
"('cis', 'volare')",-0.15533963
"('cis', 'pontis')",0.09239121
"('cis', 'venire')",-0.04013634
"('cis', 'lectus')",-0.14123577
"('cis', 'sedere')",0.025173457
"('cis', 'stare')",0.07194431
"('cis', 'dare')",-0.124001004
"('cis', 'inquam')",0.070099615
"('cis', 'sol')",-0.0037358291
"('cis', 'mensis')",0.05060708
"('cis', 'stella')",0.006519474
"('cis', 'aqua')",0.036092922
"('cis', 'pluvia')",0.067095965
"('cis', 'lapis')",-0.045550838
"('cis', 'harena')",0.12610194
"('cis', 'solum')",0.026032045
"('cis', 'nimbus')",0.04457984
"('cis', 'fumus')",-0.06992681
"('cis', 'ignis')",-0.10095141
"('cis', 'ardere')",-0.07071045
"('cis', 'mons')",0.14112678
"('cis', 'rubeus')",-0.109093875
"('cis', 'gramen')",-0.1348449
"('cis', 'flavo')",-0.058014933
"('cis', 'albus')",-0.18022919
"('cis', 'ater')",0.062436424
"('cis', 'nox')",0.008393876
"('cis', 'calidus')",0.031877775
"('cis', 'gelu')",0.025884181
"('cis', 'plenus')",-0.10242906
"('cis', 'novus')",-0.15241076
"('cis', 'bonus')",0.027058546
"('cis', 'circularis')",-0.07180702
"('cis', 'siccus')",0.03863257
"('cis', 'nomen')",-0.030462733
"('istud', 'ego')",0.4184583
"('istud', 'tu')",0.51273614
"('istud', 'nos')",0.32085183
"('istud', 'cis')",0.07042588
"('istud', 'qui')",0.0669035
"('istud', 'quid')",0.34372926
"('istud', 'non')",0.3643662
"('istud', 'omnis')",0.07383677
"('istud', 'multi')",0.04567468
"('istud', 'unus')",0.067069784
"('istud', 'duo')",-0.0026998892
"('istud', 'magnus')",-0.04357983
"('istud', 'longus')",0.063777104
"('istud', 'minutus')",0.0754204
"('istud', 'femina')",0.060141638
"('istud', 'vir')",0.17187297
"('istud', 'persona')",0.16774665
"('istud', 'piscis')",-0.06004318
"('istud', 'avis')",-0.06772171
"('istud', 'canis')",-0.09188424
"('istud', 'pedis')",0.0046097003
"('istud', 'dryas')",0.024858031
"('istud', 'semen')",-0.016401619
"('istud', 'folium')",-0.1849907
"('istud', 'radix')",-0.11642744
"('istud', 'cortex')",-0.16401228
"('istud', 'cutis')",-0.10917041
"('istud', 'membrana')",-0.23171447
"('istud', 'sanguis')",-0.1684365
"('istud', 'os')",-0.049802016
"('istud', 'medulla')",-0.13879877
"('istud', 'ovum')",0.07056537
"('istud', 'cornu')",-0.06560436
"('istud', 'cauda')",-0.2838162
"('istud', 'pluma')",0.011018774
"('istud', 'pilus')",-0.25779134
"('istud', 'caput')",-0.107657194
"('istud', 'auris')",0.048015196
"('istud', 'oculus')",-0.22586359
"('istud', 'nasus')",0.13320307
"('istud', 'gemma')",-0.011532858
"('istud', 'lingua')",0.09228119
"('istud', 'unguis')",-0.11316359
"('istud', 'pes')",-0.049511045
"('istud', 'genu')",-0.013698842
"('istud', 'manus')",0.048730012
"('istud', 'uterus')",-0.011590671
"('istud', 'monile')",0.12469606
"('istud', 'pectora')",0.07628894
"('istud', 'cor')",-0.014836248
"('istud', 'iecur')",-0.1725706
"('istud', 'bibere')",-0.0014235768
"('istud', 'edere')",-0.01913298
"('istud', 'mordeo')",0.24750832
"('istud', 'cautio')",0.22880183
"('istud', 'cognoscere')",0.064615875
"('istud', 'somnus')",-0.10626617
"('istud', 'funus')",0.1578217
"('istud', 'caedo')",0.03511916
"('istud', 'nare')",-0.20560953
"('istud', 'volare')",-0.15948296
"('istud', 'pontis')",0.046026822
"('istud', 'venire')",0.050075956
"('istud', 'lectus')",-0.0137457885
"('istud', 'sedere')",0.005990483
"('istud', 'stare')",-0.03043832
"('istud', 'dare')",0.18834782
